id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,index fit,92,42,26,56,286,ship,baseline,monotonic-signal
g002,join width,68,65,18,90,334,ship,edge,drag-penalty
g003,constraint risk,103,44,36,42,259,ship,recovery,confidence-floor
g004,plan drift,36,36,5,92,247,ship,negative,lane-boundary
g005,index fit,50,34,33,35,88,hold,baseline,monotonic-signal
g006,join width,105,36,27,54,306,ship,edge,drag-penalty
g007,constraint risk,92,74,26,68,362,ship,recovery,confidence-floor
g008,plan drift,89,26,6,37,326,ship,negative,lane-boundary
g009,index fit,91,74,18,26,357,ship,baseline,monotonic-signal
g010,join width,95,31,26,25,242,ship,edge,drag-penalty
g011,constraint risk,57,47,10,29,244,ship,recovery,confidence-floor
g012,plan drift,85,57,25,35,279,ship,negative,lane-boundary
g013,index fit,59,30,22,43,170,ship,baseline,monotonic-signal
g014,join width,93,54,34,51,268,ship,edge,drag-penalty
g015,constraint risk,114,68,41,103,376,ship,recovery,confidence-floor
g016,plan drift,40,8,4,47,163,watch,negative,lane-boundary
g017,index fit,50,50,8,24,234,ship,baseline,monotonic-signal
g018,join width,103,39,33,60,282,ship,edge,drag-penalty
g019,constraint risk,89,71,26,82,361,ship,recovery,confidence-floor
g020,plan drift,85,19,45,55,123,watch,negative,lane-boundary
g021,index fit,43,31,35,89,105,watch,baseline,monotonic-signal
g022,join width,69,39,31,41,171,ship,edge,drag-penalty
g023,constraint risk,42,46,31,91,154,watch,recovery,confidence-floor
g024,plan drift,76,17,11,34,241,ship,negative,lane-boundary
g025,index fit,96,40,45,53,196,ship,baseline,monotonic-signal
g026,join width,110,54,21,67,400,ship,edge,drag-penalty
g027,constraint risk,76,63,32,36,230,ship,recovery,confidence-floor
g028,plan drift,107,70,18,25,396,ship,negative,lane-boundary
g029,index fit,82,76,12,24,362,ship,baseline,monotonic-signal
g030,join width,73,47,11,28,286,ship,edge,drag-penalty
g031,constraint risk,116,70,33,34,357,ship,recovery,confidence-floor
g032,plan drift,45,49,45,42,50,hold,negative,lane-boundary
g033,index fit,109,41,11,50,404,ship,baseline,monotonic-signal
g034,join width,56,39,37,102,163,watch,edge,drag-penalty
g035,constraint risk,77,41,10,46,309,ship,recovery,confidence-floor
g036,plan drift,91,9,7,23,279,ship,negative,lane-boundary
g037,index fit,58,31,19,59,200,ship,baseline,monotonic-signal
g038,join width,45,9,26,81,104,watch,edge,drag-penalty
g039,constraint risk,42,36,31,54,97,hold,recovery,confidence-floor
g040,plan drift,44,52,35,88,149,watch,negative,lane-boundary
g041,index fit,48,62,18,40,218,ship,baseline,monotonic-signal
g042,join width,98,35,11,90,399,ship,edge,drag-penalty
g043,constraint risk,38,59,30,33,115,watch,recovery,confidence-floor
g044,plan drift,100,73,20,52,398,ship,negative,lane-boundary
g045,index fit,46,13,16,66,150,watch,baseline,monotonic-signal
g046,join width,67,55,16,35,266,ship,edge,drag-penalty
g047,constraint risk,81,44,38,24,165,watch,recovery,confidence-floor
g048,plan drift,91,76,30,23,298,ship,negative,lane-boundary
g049,index fit,56,24,6,27,213,ship,baseline,monotonic-signal
g050,join width,42,36,17,33,146,watch,edge,drag-penalty
g051,constraint risk,38,44,45,41,18,hold,recovery,confidence-floor
g052,plan drift,84,51,39,49,208,ship,negative,lane-boundary
g053,index fit,110,22,38,101,285,ship,baseline,monotonic-signal
g054,join width,83,45,18,45,294,ship,edge,drag-penalty
g055,constraint risk,117,59,30,22,341,ship,recovery,confidence-floor
g056,plan drift,49,68,38,58,151,watch,negative,lane-boundary
g057,index fit,63,75,22,80,309,ship,baseline,monotonic-signal
g058,join width,117,11,37,53,241,ship,edge,drag-penalty
g059,constraint risk,60,52,34,87,201,ship,recovery,confidence-floor
g060,plan drift,35,75,4,39,274,ship,negative,lane-boundary
g061,index fit,114,54,11,89,484,ship,baseline,monotonic-signal
g062,join width,69,46,16,32,251,ship,edge,drag-penalty
g063,constraint risk,86,44,20,51,297,ship,recovery,confidence-floor
g064,plan drift,62,46,45,65,118,watch,negative,lane-boundary
g065,index fit,97,14,38,34,163,watch,baseline,monotonic-signal
g066,join width,30,36,15,23,110,watch,edge,drag-penalty
g067,constraint risk,44,14,5,22,157,watch,recovery,confidence-floor
g068,plan drift,99,41,43,26,190,ship,negative,lane-boundary
g069,index fit,86,57,43,32,189,ship,baseline,monotonic-signal
g070,join width,83,67,23,40,308,ship,edge,drag-penalty
g071,constraint risk,85,40,15,48,308,ship,recovery,confidence-floor
g072,plan drift,89,64,33,100,330,ship,negative,lane-boundary
g073,index fit,51,8,44,44,-7,hold,baseline,monotonic-signal
g074,join width,79,18,30,21,144,watch,edge,drag-penalty
g075,constraint risk,53,60,24,57,216,ship,recovery,confidence-floor
g076,plan drift,87,49,23,79,323,ship,negative,lane-boundary
g077,index fit,108,11,45,52,173,ship,baseline,monotonic-signal
g078,join width,34,29,15,86,171,ship,edge,drag-penalty
g079,constraint risk,44,41,23,38,137,watch,recovery,confidence-floor
g080,plan drift,97,49,7,88,442,ship,negative,lane-boundary
g081,index fit,83,56,22,31,282,ship,baseline,monotonic-signal
g082,join width,79,27,19,50,246,ship,edge,drag-penalty
g083,constraint risk,37,50,31,64,120,watch,recovery,confidence-floor
g084,plan drift,63,64,38,33,160,watch,negative,lane-boundary
g085,index fit,36,73,43,22,61,hold,baseline,monotonic-signal
g086,join width,70,10,5,21,226,ship,edge,drag-penalty
g087,constraint risk,90,16,30,25,177,ship,recovery,confidence-floor
g088,plan drift,104,57,23,31,342,ship,negative,lane-boundary
g089,index fit,70,10,42,39,59,hold,baseline,monotonic-signal
g090,join width,101,59,32,47,308,ship,edge,drag-penalty
g091,constraint risk,76,51,28,99,289,ship,recovery,confidence-floor
g092,plan drift,67,49,28,43,202,ship,negative,lane-boundary
g093,index fit,110,51,8,20,412,ship,baseline,monotonic-signal
g094,join width,39,19,42,56,1,hold,edge,drag-penalty
g095,constraint risk,103,41,18,78,379,ship,recovery,confidence-floor
g096,plan drift,50,19,29,51,94,hold,negative,lane-boundary
